STATUS,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,FUNCTION,CATEGORY,SUBCATEGORY
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-3,MALICIOUS CODE PROTECTION,P1,"LOW,MODERATE,HIGH",DETECT,DETECTION PROCESSES,DE.DP-3
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-4,INFORMATION SYSTEM MONITORING,P1,"LOW,MODERATE,HIGH",DETECT,ANOMALIES AND EVENTS,DE.AE-2
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-4,INFORMATION SYSTEM MONITORING,P1,"LOW,MODERATE,HIGH",DETECT,ANOMALIES AND EVENTS,DE.AE-3
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-4,INFORMATION SYSTEM MONITORING,P1,"LOW,MODERATE,HIGH",DETECT,SECURITY CONTINUOUS MONITORING,DE.CM-7
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-4,INFORMATION SYSTEM MONITORING,P1,"LOW,MODERATE,HIGH",DETECT,DETECTION PROCESSES,DE.DP-3
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-4,INFORMATION SYSTEM MONITORING,P1,"LOW,MODERATE,HIGH",IDENTIFY,RISK ASSESSMENT,ID.RA-1
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-4,INFORMATION SYSTEM MONITORING,P1,"LOW,MODERATE,HIGH",RESPOND,ANALYSIS,RS.AN-1
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-5,"SECURITY ALERTS, ADVISORIES, AND DIRECTIVES",P1,"LOW,MODERATE,HIGH",IDENTIFY,RISK ASSESSMENT,ID.RA-1
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-5,"SECURITY ALERTS, ADVISORIES, AND DIRECTIVES",P1,"LOW,MODERATE,HIGH",IDENTIFY,RISK ASSESSMENT,ID.RA-2
ACTIVE,SYSTEM AND INFORMATION INTEGRITY,SI-8,SPAM PROTECTION,P2,"MODERATE,HIGH",DETECT,SECURITY CONTINUOUS MONITORING,DE.CM-4
