IMPLEMENTED BY,RMF CONTROL FAMILY,RMF CONTROL NUMBER,RMF CONTROL NAME - CONTROL ENHANCEMENT NAME,BASELINE IMPACT,CSF FUNCTION,CSF CATEGORY,CSF SUBCATEGORY,PRIVACY,HVA,FSA,FPKI
O,CONFIGURATION MANAGEMENT,CM-2,BASELINE CONFIGURATION,L/M/H,PROTECT,PR.IP,PR.IP-1,NO,YES,YES,YES
O,CONFIGURATION MANAGEMENT,CM-2(2),AUTOMATION SUPPORT FOR ACCURACY AND CURRENCY,M/H,NA,NA,NA,NO,NO,NO,YES
O,CONFIGURATION MANAGEMENT,CM-2(3),RETENTION OF PREVIOUS CONFIGURATIONS,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-2(6),DEVELOPMENT AND TEST ENVIRONMENTS,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-2(7),CONFIGURE SYSTEMS AND COMPONENTS FOR HIGH-RISK AREAS,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-3,CONFIGURATION CHANGE CONTROL,L/M/H,DETECT,DE.CM,DE.CM-1,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-3,CONFIGURATION CHANGE CONTROL,L/M/H,DETECT,DE.CM,DE.CM-7,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-3,CONFIGURATION CHANGE CONTROL,L/M/H,PROTECT,PR.IP,PR.IP-1,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-3,CONFIGURATION CHANGE CONTROL,L/M/H,PROTECT,PR.IP,PR.IP-3,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-3(1),"AUTOMATED DOCUMENTATION, NOTIFICATION, AND PROHIBITION OF CHANGES",NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-3(2),"TESTING, VALIDATION, AND DOCUMENTATION OF CHANGES",M/H,NA,NA,NA,NO,YES,NO,NO
O,CONFIGURATION MANAGEMENT,CM-3(3),AUTOMATED CHANGE IMPLEMENTATION,NA,NA,NA,NA,NO,NO,NO,YES
O,CONFIGURATION MANAGEMENT,CM-3(4),SECURITY AND PRIVACY REPRESENTATIVES,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-3(6),CRYPTOGRAPHY MANAGEMENT,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-3(7),REVIEW SYSTEM CHANGES,NA,NA,NA,NA,NO,YES,NO,YES
O,CONFIGURATION MANAGEMENT,CM-4,IMPACT ANALYSES,L/M/H,PROTECT,PR.IP,PR.IP-1,YES,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-4,IMPACT ANALYSES,L/M/H,PROTECT,PR.IP,PR.IP-3,YES,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-4(1),SEPARATE TEST ENVIRONMENTS,H,NA,NA,NA,NO,YES,NO,NO
O,CONFIGURATION MANAGEMENT,CM-4(2),VERIFICATION OF CONTROLS,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-5,ACCESS RESTRICTIONS FOR CHANGE,L/M/H,PROTECT,PR.IP,PR.IP-1,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-5(5),PRIVILEGE LIMITATION FOR PRODUCTION AND OPERATION,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-6(1),"AUTOMATED MANAGEMENT, APPLICATION, AND VERIFICATION",H,NA,NA,NA,NO,NO,NO,YES
O,CONFIGURATION MANAGEMENT,CM-6(2),RESPOND TO UNAUTHORIZED CHANGES,H,NA,NA,NA,NO,YES,NO,YES
O,CONFIGURATION MANAGEMENT,CM-7(3),REGISTRATION COMPLIANCE,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-7(6),CONFINED ENVIRONMENTS WITH LIMITED PRIVILEGES,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8,SYSTEM COMPONENT INVENTORY,L/M/H,DETECT,DE.CM,DE.CM-7,NO,YES,YES,YES
O,CONFIGURATION MANAGEMENT,CM-8,SYSTEM COMPONENT INVENTORY,L/M/H,IDENTIFY,ID.AM,ID.AM-1,NO,YES,YES,YES
O,CONFIGURATION MANAGEMENT,CM-8,SYSTEM COMPONENT INVENTORY,L/M/H,IDENTIFY,ID.AM,ID.AM-2,NO,YES,YES,YES
O,CONFIGURATION MANAGEMENT,CM-8,SYSTEM COMPONENT INVENTORY,L/M/H,PROTECT,PR.DS,PR.DS-3,NO,YES,YES,YES
O,CONFIGURATION MANAGEMENT,CM-8(1),UPDATES DURING INSTALLATION AND REMOVAL,L/M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8(2),AUTOMATED MAINTENANCE,H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8(3),AUTOMATED UNAUTHORIZED COMPONENT DETECTION,L/M/H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8(4),ACCOUNTABILITY INFORMATION,H,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8(6),ASSESSED CONFIGURATIONS AND APPROVED DEVIATIONS,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8(7),CENTRALIZED REPOSITORY,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8(8),AUTOMATED LOCATION TRACKING,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-8(9),ASSIGNMENT OF COMPONENTS TO SYSTEMS,NA,NA,NA,NA,NO,NO,NO,NO
O,CONFIGURATION MANAGEMENT,CM-9,CONFIGURATION MANAGEMENT PLAN,M/H,PROTECT,PR.IP,PR.IP-1,NO,NO,YES,YES
O,CONFIGURATION MANAGEMENT,CM-9(1),ASSIGNMENT OF RESPONSIBILITY,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.IP,PR.IP-9,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-10,SYSTEM RECOVERY AND RECONSTITUTION,L/M/H,PROTECT,PR.IP,PR.IP-9,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-10,SYSTEM RECOVERY AND RECONSTITUTION,L/M/H,RESPOND,RC.RP,RC.RP-1,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-10,SYSTEM RECOVERY AND RECONSTITUTION,L/M/H,RESPOND,RS.RP,RS.RP-1,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-10(2),TRANSACTION RECOVERY,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-10(4),RESTORE WITHIN TIME PERIOD,H,NA,NA,NA,NO,YES,NO,YES
O,CONTINGENCY PLANNING,CP-10(6),COMPONENT PROTECTION,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-11,ALTERNATE COMMUNICATIONS PROTOCOLS,NA,IDENTIFY,ID.BE,ID.BE-5,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-11,ALTERNATE COMMUNICATIONS PROTOCOLS,NA,PROTECT,PR.PT,PR.PT-5,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,DETECT,DE.AE,DE.AE-3,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,DETECT,DE.AE,DE.AE-4,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,IDENTIFY,ID.AM,ID.AM-5,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,IDENTIFY,ID.AM,ID.AM-6,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,IDENTIFY,ID.BE,ID.BE-4,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,IDENTIFY,ID.BE,ID.BE-5,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,IDENTIFY,ID.RA,ID.RA-4,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,IDENTIFY,ID.SC,ID.SC-5,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,PROTECT,PR.DS,PR.DS-4,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,PROTECT,PR.IP,PR.IP-7,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,PROTECT,PR.IP,PR.IP-8,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,PROTECT,PR.IP,PR.IP-9,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RECOVER,RC.CO,RC.CO-3,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RC.IM,RC.IM-1,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RC.IM,RC.IM-2,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.AN,RS.AN-2,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.AN,RS.AN-4,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.CO,RS.CO-1,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.CO,RS.CO-3,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.CO,RS.CO-4,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.IM,RS.IM-1,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.IM,RS.IM-2,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2,CONTINGENCY PLAN,L/M/H,RESPOND,RS.RP,RS.RP-1,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-2(1),COORDINATE WITH RELATED PLANS,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-2(2),CAPACITY PLANNING,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-2(3),RESUME MISSION AND BUSINESS FUNCTIONS,M/H,NA,NA,NA,NO,NO,NO,YES
O,CONTINGENCY PLANNING,CP-2(5),CONTINUE MISSION AND BUSINESS FUNCTIONS,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-2(6),ALTERNATE PROCESSING AND STORAGE SITES,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-2(7),COORDINATE WITH EXTERNAL SERVICE PROVIDERS,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-2(8),IDENTIFY CRITICAL ASSETS,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-3,CONTEINGENCY TRAINING,L/M/H,PROTECT,PR.AT,PR.AT-5,NO,NO,YES,NO
O,CONTINGENCY PLANNING,CP-3,CONTEINGENCY TRAINING,L/M/H,RESPOND,RS.CO,RS.CO-1,NO,NO,YES,NO
O,CONTINGENCY PLANNING,CP-3(1),SIMULATED EVENTS,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-3(2),MECHANISMS USED IN TRAINING ENVIRONMENTS,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-4,CONTINGENCY PLAN TESTING,L/M/H,IDENTIFY,ID.SC,ID.SC-5,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-4,CONTINGENCY PLAN TESTING,L/M/H,PROTECT,PR.IP,PR.IP-10,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-4,CONTINGENCY PLAN TESTING,L/M/H,PROTECT,PR.IP,PR.IP-4,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-4,CONTINGENCY PLAN TESTING,L/M/H,PROTECT,PR.IP,PR.IP-7,NO,YES,YES,YES
O,CONTINGENCY PLANNING,CP-4(1),COORDINATE WITH RELATED PLANS,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-4(2),ALTERNATE PROCESSING SITE,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-4(3),AUTOMATED TESTING,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-4(4),FULL RECOVERY AND RECONSTITUTION,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-6,ALTERNATIVE STORAGE SITE,M/H,PROTECT,PR.IP,PR.IP-4,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-6(1),SEPARATION FROM PRIMARY SITE,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-6(2),RECOVERY TIME AND RECOVERY POINT OBJECTIVES,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-6(3),ACCESSIBILITY,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-7,ALTERNATE PROCESSING SITE,M/H,PROTECT,PR.IP,PR.IP-9,NO,YES,NO,YES
O,CONTINGENCY PLANNING,CP-7,ALTERNATE PROCESSING SITE,M/H,PROTECT,PR.PT,PR.PT-5,NO,YES,NO,YES
O,CONTINGENCY PLANNING,CP-7(1),SEPARATION FROM PRIMARY SITE,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-7(2),ACCESSIBILITY,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-7(3),PRIORITY OF SERVICE,M/H,NA,NA,NA,NO,YES,NO,NO
O,CONTINGENCY PLANNING,CP-7(4),PREPARATION FOR USE,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-7(6),INABILITY TO RETURN TO PRIMARY SITE,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-8,TELECOMMUNICATIONS SERVICES,M/H,IDENTIFY,ID.BE,ID.BE-4,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-8,TELECOMMUNICATIONS SERVICES,M/H,PROTECT,PR.PT,PR.PT-4,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-8,TELECOMMUNICATIONS SERVICES,M/H,PROTECT,PR.PT,PR.PT-5,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-8(1),PRIORITY OF SERVICE PROVISIONS,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-8(2),SINGLE POINTS OF FAILURE,M/H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-8(3),SEPARATION OF PRIMARY AND ALTERNATE PROVIDERS,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-8(4),PROVIDER CONTINGENCY PLAN,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-8(5),ALTERNATE TELECOMMUNICATION SERVICE TESTING,NA,NA,NA,NA,NO,YES,NO,NO
O,CONTINGENCY PLANNING,CP-9,SYSTEM BACKUP,L/M/H,PROTECT,PR.IP,PR.IP-4,NO,NO,YES,YES
O,CONTINGENCY PLANNING,CP-9(1),TESTING FOR RELIABILITY AND INTEGRITY,M/H,NA,NA,NA,NO,YES,NO,NO
O,CONTINGENCY PLANNING,CP-9(2),TEST RESTORATION USING SAMPLING,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-9(3),SEPARATE STORAGE FOR CRITICAL INFORMATION,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-9(5),TRANSFER TO ALTERNATE STORAGE SITE,H,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-9(6),REDUNDANT SECONDARY SYSTEM,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-9(7),DUAL AUTHORIZATION FOR DELETION OR DESTRUCTION,NA,NA,NA,NA,NO,NO,NO,NO
O,CONTINGENCY PLANNING,CP-9(8),CRYPTOGRAPHIC PROTECTION,M/H,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.AC,PR.AC-1,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.AC,PR.AC-6,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.AC,PR.AC-7,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-10,ADAPTIVE AUTHENTICATION,NA,PROTECT,PR.AC,PR.AC-1,NO,NO,YES,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-10,ADAPTIVE AUTHENTICATION,NA,PROTECT,PR.AC,PR.AC-7,NO,NO,YES,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-12,IDENTITY PROOFING,M/H,PROTECT,PR.AC,PR.AC-1,NO,NO,NO,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-12,IDENTITY PROOFING,M/H,PROTECT,PR.AC,PR.AC-6,NO,NO,NO,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-12(1),SUPERVISOR AUTHORIZATION,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-12(2),IDENTITY EVIDENCE,M/H,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-12(3),IDENTITY EVIDENCE VALIDATION AND VERIFICATION,M/H,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-12(4),IN-PERSON VALIDATION AND VERIFICATION,H,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-12(5),ADDRESS CONFIRMATION,M/H,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-12(6),ACCEPT EXTERNALLY-PROOFED IDENTITIES,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-3(3),DYNAMIC ADDRESS ALLOCATION,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-3(4),DEVICE ATTESTATION,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-4,IDENTIFIER MANAGEMENT,L/M/H,PROTECT,PR.AC,PR.AC-1,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-4,IDENTIFIER MANAGEMENT,L/M/H,PROTECT,PR.AC,PR.AC-6,NO,NO,YES,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-4(1),PROHIBIT ACCOUNT IDENTIFIERS AS PUBLIC IDENTIFIERS,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-4(4),IDENTIFY USER STATUS,M/H,NA,NA,NA,NO,NO,NO,YES
O,IDENTIFICATION AND AUTHENTICATION,IA-4(6),CROSS-ORGANIZATION MANAGEMENT,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-4(8),PAIRWISE PSEUDONYMOUS IDENTIFIERS,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(14),MANAGING CONTENT OF PKI TRUST STORES,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(15),GSA-APPROVED PRODUCTS AND SERVICES,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(16),IN-PERSON OR TRUSTED EXTERNAL PARTY AUTHENTICATOR ISSUANCE,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(5),CHANGE AUTHENTICATORS PRIOR TO DELIVERY,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(6),PROTECTION OF AUTHENTICATORS,M/H,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(7),NO EMBEDDED UNENCRYPTED STATIC AUTHENTICATORS,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(8),MULTIPLE SYSTEM ACCOUNTS,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-5(9),FEDERATED CREDENTIAL MANAGEMENT,NA,NA,NA,NA,NO,NO,NO,NO
O,IDENTIFICATION AND AUTHENTICATION,IA-8(6),DISASSOCIABILITY,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-1,POLICY AND PROCEDURES,L/M/H,DETECT,DE.DP,DE.DP-2,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-1,POLICY AND PROCEDURES,L/M/H,IDENTIFY,ID.GV,ID.GV-3,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-1,POLICY AND PROCEDURES,L/M/H,PROTECT,PR.IP,PR.IP-9,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-2,INCIDENT RESPONSE TRAINING,L/M/H,PROTECT,PR.AT,PR.AT-5,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-2(1),SIMULATED EVENTS,M,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-2(2),AUTOMATED TRAINING ENVIRONMENTS,M,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-2(3),BREACH,H,NA,NA,NA,YES,NO,NO,NO
O,INCIDENT RESPONSE,IR-3,INCIDENT RESPONSE TESTING,M/H,IDENTIFY,ID.SC,ID.SC-5,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-3,INCIDENT RESPONSE TESTING,M/H,PROTECT,PR.IP,PR.IP-10,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-3,INCIDENT RESPONSE TESTING,M/H,PROTECT,PR.IP,PR.IP-7,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-3,INCIDENT RESPONSE TESTING,M/H,RESPOND,RS.CO,RS.CO-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-3(1),AUTOMATED TESTING,M/H,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-3(2),COORDINATION WITH RELATED PLANS,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-3(3),CONTINUOUS IMPROVEMENT,NA,NA,NA,NA,NO,NO,NO,NO
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,DETECT,DE.AE,DE.AE-2,YES,YES,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,DETECT,DE.AE,DE.AE-3,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,DETECT,DE.AE,DE.AE-4,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,DETECT,DE.AE,DE.AE-5,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,IDENTIFY,ID.SC,ID.SC-5,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RECOVER,RC.CO,RC.CO-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RECOVER,RC.CO,RC.CO-2,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RECOVER,RC.CO,RC.CO-3,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RC.IM,RC.IM-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RC.IM,RC.IM-2,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RC.RP,RC.RP-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.AN,RS.AN-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.AN,RS.AN-2,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.AN,RS.AN-3,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.AN,RS.AN-4,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.CO,RS.CO-3,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.CO,RS.CO-4,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.IM,RS.IM-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.IM,RS.IM-2,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.MI,RS.MI-1,YES,NO,YES,YES
O,INCIDENT RESPONSE,IR-4,INCIDENT HANDLING,L/M/H,RESPOND,RS.MI,RS.MI-2,YES,NO,YES,YES
